canonical_module,changed_default_fields,class_name,current_schema_hash,expected_changed,expected_unchanged,field_delta_pass,pass,previous_schema_hash,schema_hash_changed
src.mpm_lbm.sim.drivers.fsi_config,"[""write_particles"", ""write_vtk""]",FSIDriverConfig,535727b2a62ec646297e970d95f9992ee7ba574c19071eca21af88aca5dcbd85,True,False,True,True,9a69aa348721586ab93643176305438137db19c559fcb679a1a209577f97cd87,True
src.mpm_lbm.sim.drivers.sim_config,[],UnifiedSimConfig,741f3622b9003a832075e05cdfcf806f10f67fa6e93486d0b2efbb8c4746d6c7,False,True,True,True,741f3622b9003a832075e05cdfcf806f10f67fa6e93486d0b2efbb8c4746d6c7,False
src.mpm_lbm.sim.lbm.config,[],LBMConfig,9d489a94e4b50a5bf05d61de6017c0735d93abaa0ae1bc842f6b4817b85dcc6e,False,True,True,True,9d489a94e4b50a5bf05d61de6017c0735d93abaa0ae1bc842f6b4817b85dcc6e,False
src.mpm_lbm.sim.mpm.config,[],MPMConfig,40d092510e3accdbe571c2ccc7a6f03bc6b422ecf2aab3147d116dc38ee32246,False,True,True,True,40d092510e3accdbe571c2ccc7a6f03bc6b422ecf2aab3147d116dc38ee32246,False
src.mpm_lbm.sim.geometry.config,"[""duct"", ""flap"", ""material_reference""]",GeometryConfig,3a7913c54677283bc04c23f7e738973c0cf9b74d5d9a795c6d0851f18e130c8b,True,False,True,True,e7cfc782d3ec8aa8fe1153a2bf0bded0d23736c3e58f76ce7eed9329e0b19640,True
src.mpm_lbm.sim.motion.boundary_motion_config,[],BoundaryMotionInterfaceConfig,fb13e950f6fe9bedbae8cec760f0b98c76c14ba9cbb26581762d2db01baf5a2b,False,True,True,True,fb13e950f6fe9bedbae8cec760f0b98c76c14ba9cbb26581762d2db01baf5a2b,False
src.mpm_lbm.sim.motion.geometry_motion_config,[],GeometryMotionInterfaceConfig,6cfae589410992131d73a8c616f48ffb783c5f389d72f9fc5e6d5ff22fe59b24,False,True,True,True,6cfae589410992131d73a8c616f48ffb783c5f389d72f9fc5e6d5ff22fe59b24,False
src.mpm_lbm.sim.wall_velocity.application_config,[],WallVelocityApplicationConfig,d2ebebff6aabe7c00e7e0574f2afa2342aee5e2ff8038772ee9feeae3a38eafc,False,True,True,True,d2ebebff6aabe7c00e7e0574f2afa2342aee5e2ff8038772ee9feeae3a38eafc,False
src.mpm_lbm.sim.wall_velocity.config,[],WallVelocityFieldConfig,d30bbf4f00c4120205c544f5fe97cdc0319fe1cb2813baed7427a9208adc1c1e,False,True,True,True,d30bbf4f00c4120205c544f5fe97cdc0319fe1cb2813baed7427a9208adc1c1e,False
src.mpm_lbm.sim.runtime_geometry.projection_config,[],RuntimeGeometryProjectionIntegrationConfig,9cd528240c3f3518a796eb7fe259520cb09324585eccedc5e414d05bc96b16f8,False,True,True,True,9cd528240c3f3518a796eb7fe259520cb09324585eccedc5e414d05bc96b16f8,False
src.mpm_lbm.sim.geometry_displacement.config,[],GeometryDisplacementConfig,46f829ef836f6afdc512341bd0defcad574bae9437155501264fd729024e0d00,False,True,True,True,46f829ef836f6afdc512341bd0defcad574bae9437155501264fd729024e0d00,False
src.mpm_lbm.sim.squid_proxy.region_config,[],SquidProxyRegionConfig,712d505ff096cbea1d45e5957ecf2eb58763408bb0e4c036235b9a850ec5c502,False,True,True,True,712d505ff096cbea1d45e5957ecf2eb58763408bb0e4c036235b9a850ec5c502,False
src.mpm_lbm.sim.squid_proxy.kinematics_config,[],SquidKinematicsScheduleConfig,ca7ef5aaba94a4936f764b455474d9b1885ecbcaf49938bac0432122e8741f7c,False,True,True,True,ca7ef5aaba94a4936f764b455474d9b1885ecbcaf49938bac0432122e8741f7c,False
src.mpm_lbm.sim.squid_proxy.motion_mapping_config,[],SquidMotionMappingConfig,56a6f819b540f55c477fb757a17f141c8f03e1d7993abeccc064162b371614d8,False,True,True,True,56a6f819b540f55c477fb757a17f141c8f03e1d7993abeccc064162b371614d8,False
